%time,field.data
1698138197621253013,3.227
1698138197648370027,3.227
1698138197721292972,3.227
1698138197748683929,3.227
1698138197821374893,3.227
1698138197848233938,3.227
1698138197921509027,3.227
1698138197948534011,3.227
1698138198021956920,3.227
1698138198048230886,3.227
1698138198121542930,3.227
1698138198148541927,3.227
1698138198221508979,3.227
1698138198248393058,3.227
1698138198321530103,3.227
1698138198348614931,3.227
1698138198421701908,3.227
1698138198448133945,3.227
1698138198521344900,3.227
1698138198548398017,3.227
1698138198622178077,3.227
1698138198648226022,3.227
1698138198721537113,3.227
1698138198748544931,3.227
1698138198821640968,3.227
1698138198848321914,3.227
1698138198921634912,3.227
1698138198948573112,3.227
1698138199021651029,3.227
1698138199048466920,3.227
1698138199121578931,3.227
1698138199148535013,3.227
1698138199221560001,3.227
1698138199248245000,3.227
1698138199321460962,3.227
1698138199348377943,3.227
1698138199421510934,3.227
1698138199448115110,3.227
1698138199521548986,3.227
1698138199548361063,3.227
1698138199621673107,3.227
1698138199648674964,3.227
1698138199721658945,3.227
1698138199748451948,3.227
1698138199821860074,3.227
1698138199848288059,3.227
1698138199921744108,3.227
1698138199948429107,3.227
1698138200022237062,3.227
1698138200048224925,3.227
1698138200121603965,3.227
1698138200148535966,3.227
1698138200221343040,3.227
1698138200248269081,3.227
1698138200321130990,3.227
1698138200348398923,3.227
1698138200421667098,3.227
1698138200448354959,3.227
1698138200521482944,3.227
1698138200548353910,3.227
1698138200622025966,3.227
1698138200648485898,3.227
1698138200721626043,3.227
1698138200748475074,3.227
1698138200821980953,3.227
1698138200848160982,3.227
1698138200922120094,3.227
1698138200948769092,3.227
1698138201021934032,3.227
1698138201048365116,3.227
1698138201121663093,3.227
1698138201148597955,3.227
1698138201221661090,3.227
1698138201248296022,3.227
1698138201321578979,3.227
1698138201348330974,3.227
1698138201421914100,3.227
1698138201448363065,3.227
1698138201521667003,3.227
1698138201548444032,3.227
1698138201621910095,3.227
1698138201648294925,3.227
1698138201721657991,3.227
1698138201748543024,3.227
1698138201821791887,3.227
1698138201848417043,3.227
1698138201921999931,3.227
1698138201948589086,3.227
1698138202022175073,3.227
1698138202048449039,3.227
1698138202121843099,3.227
1698138202148411035,3.227
1698138202221651077,3.227
1698138202248475074,3.227
1698138202321481943,3.227
1698138202348436117,3.227
1698138202421967983,3.227
1698138202448468923,3.227
1698138202521646976,3.227
1698138202548638105,3.227
1698138202621771097,3.227
1698138202648386955,3.227
1698138202721601009,3.227
1698138202748645067,3.227
1698138202821703910,3.227
1698138202848577022,3.227
1698138202921808004,3.227
1698138202948493003,3.227
1698138203021902084,3.227
1698138203048659086,3.227
1698138203121495008,3.227
1698138203148344993,3.227
1698138203221628904,3.227
1698138203248147010,3.227
1698138203321398973,3.227
1698138203348516941,3.227
1698138203421874046,3.227
1698138203448277950,3.227
