%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4
1698137918947436094,225,1698137918947436094,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384447506904,14880,1698139384447506904,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919047846078,226,1698137919047846078,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384547430038,14881,1698139384547430038,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919147480010,227,1698137919147480010,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384647505998,14882,1698139384647505998,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919247419118,228,1698137919247419118,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384747502088,14883,1698139384747502088,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919347420930,229,1698137919347420930,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384847573995,14884,1698139384847573995,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919447487115,230,1698137919447487115,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384947396993,14885,1698139384947396993,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919547471046,231,1698137919547471046,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385047791004,14886,1698139385047791004,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919647533893,232,1698137919647533893,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385147613048,14887,1698139385147613048,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919747520923,233,1698137919747520923,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385247483015,14888,1698139385247483015,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919847856998,234,1698137919847856998,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385347630023,14889,1698139385347630023,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137919947633981,235,1698137919947633981,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385447438001,14890,1698139385447438001,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920047472953,236,1698137920047472953,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385547498941,14891,1698139385547498941,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920147598981,237,1698137920147598981,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385647633075,14892,1698139385647633075,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920247556924,238,1698137920247556924,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385747396945,14893,1698139385747396945,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920347426891,239,1698137920347426891,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385847544908,14894,1698139385847544908,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920447691917,240,1698137920447691917,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139385947572946,14895,1698139385947572946,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920547516107,241,1698137920547516107,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386047504901,14896,1698139386047504901,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920647526979,242,1698137920647526979,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386147449016,14897,1698139386147449016,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920747431993,243,1698137920747431993,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386247513055,14898,1698139386247513055,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920847381114,244,1698137920847381114,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386347515106,14899,1698139386347515106,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137920947421073,245,1698137920947421073,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386447451114,14900,1698139386447451114,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921047461032,246,1698137921047461032,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386547454118,14901,1698139386547454118,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921147555112,247,1698137921147555112,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386647452116,14902,1698139386647452116,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921247713088,248,1698137921247713088,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386747472047,14903,1698139386747472047,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921347846984,249,1698137921347846984,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386847493886,14904,1698139386847493886,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921447572946,250,1698137921447572946,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139386947490930,14905,1698139386947490930,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921547569990,251,1698137921547569990,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387047681093,14906,1698139387047681093,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921647736072,252,1698137921647736072,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387147526025,14907,1698139387147526025,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921747611999,253,1698137921747611999,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387247490882,14908,1698139387247490882,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921847598075,254,1698137921847598075,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387347490072,14909,1698139387347490072,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137921947582960,255,1698137921947582960,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387447515010,14910,1698139387447515010,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922047404050,256,1698137922047404050,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387547488927,14911,1698139387547488927,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922147568941,257,1698137922147568941,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387647460937,14912,1698139387647460937,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922247613906,258,1698137922247613906,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387747472047,14913,1698139387747472047,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922347618103,259,1698137922347618103,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139387847445011,14914,1698139387847445011,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137922447525024,260,1698137922447525024,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
